Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name,Last common ancestor with Mouse,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,Mouse Whole-genome alignment coverage,"Mouse orthology confidence [0 low, 1 high]"
ENSG00000132639,SNAP25,ENSMUSG00000027273,Snap25,Eutheria,ortholog_one2one,100,100,100,100.00,1
ENSG00000237289,CKMT1B,ENSMUSG00000000308,Ckmt1,Euarchontoglires,ortholog_one2many,96.8825,96.6507,100,100.00,1
ENSG00000146411,SLC2A12,ENSMUSG00000037490,Slc2a12,Euarchontoglires,ortholog_one2one,84.2788,83.6013,50,100.00,1
ENSG00000090905,TNRC6A,ENSMUSG00000052707,Tnrc6a,Euarchontoglires,ortholog_one2one,91.5902,94.7785,100,100.00,1
ENSG00000104369,JPH1,ENSMUSG00000042686,Jph1,Euarchontoglires,ortholog_one2one,93.3434,93.4848,100,100.00,1
ENSG00000109956,B3GAT1,ENSMUSG00000045994,B3gat1,Euarchontoglires,ortholog_one2one,98.503,94.8127,50,100.00,1
ENSG00000112320,SOBP,ENSMUSG00000038248,Sobp,Euarchontoglires,ortholog_one2one,94.3872,95.3704,100,100.00,1
ENSG00000026652,AGPAT4,ENSMUSG00000023827,Agpat4,Euarchontoglires,ortholog_one2one,85.7143,85.7143,75,100.00,1
ENSG00000170837,GPR27,ENSMUSG00000072875,Gpr27,Eutheria,ortholog_one2one,97.3333,96.3061,100,100.00,1
ENSG00000136718,IMP4,ENSMUSG00000026127,Imp4,Euarchontoglires,ortholog_one2one,97.9381,97.9381,50,100.00,1
ENSG00000189001,SBSN,ENSMUSG00000046056,Sbsn,Euarchontoglires,ortholog_one2one,56.4407,48.827,100,97.22,0
ENSG00000163424,TEX55,ENSMUSG00000022798,Tex55,Euarchontoglires,ortholog_one2one,27.6119,38.8451,100,96.74,0
ENSG00000242866,STRC,ENSMUSG00000033498,Strc,Euarchontoglires,ortholog_one2one,87.4366,85.7933,100,99.34,1
ENSG00000141179,PCTP,ENSMUSG00000020553,Pctp,Euarchontoglires,ortholog_one2one,81.3084,81.3084,100,100.00,1
ENSG00000111581,NUP107,ENSMUSG00000052798,Nup107,Euarchontoglires,ortholog_one2one,91.3513,91.2527,100,100.00,1
ENSG00000138483,CCDC54,ENSMUSG00000050685,Ccdc54,Eutheria,ortholog_one2one,64.6341,64.4377,100,100.00,1
ENSG00000135363,LMO2,ENSMUSG00000032698,Lmo2,Mammalia,ortholog_one2one,89.8678,89.4737,100,100.00,1
ENSG00000163814,CDCP1,ENSMUSG00000035498,Cdcp1,Eutheria,ortholog_one2one,80.9809,81.2725,100,100.00,1
ENSG00000104760,FGL1,ENSMUSG00000031594,Fgl1,Euarchontoglires,ortholog_one2one,82.0513,81.5287,100,100.00,1
ENSG00000149635,OCSTAMP,ENSMUSG00000027670,Ocstamp,Euarchontoglires,ortholog_one2one,59.1873,67.2691,100,100.00,1
ENSG00000141433,ADCYAP1,ENSMUSG00000024256,Adcyap1,Euarchontoglires,ortholog_one2one,82.3864,82.8571,25,100.00,1
ENSG00000158296,SLC13A3,ENSMUSG00000018459,Slc13a3,Euarchontoglires,ortholog_one2one,87.7076,88,100,100.00,1
ENSG00000105675,ATP4A,ENSMUSG00000005553,Atp4a,Euarchontoglires,ortholog_one2one,97.8744,97.9691,100,100.00,1
ENSG00000165209,STRBP,ENSMUSG00000026915,Strbp,Euarchontoglires,ortholog_one2one,98.9583,98.9583,100,100.00,1
ENSG00000184465,WDR27,ENSMUSG00000046991,Wdr27,Euarchontoglires,ortholog_one2one,58.2123,63.1515,100,97.93,1
ENSG00000121594,CD80,ENSMUSG00000075122,Cd80,Euarchontoglires,ortholog_one2one,42.0139,39.5425,100,94.09,0
ENSG00000085117,CD82,ENSMUSG00000027215,Cd82,Eutheria,ortholog_one2one,76.4045,76.6917,100,100.00,1
ENSG00000141642,ELAC1,ENSMUSG00000036941,Elac1,Euarchontoglires,ortholog_one2one,91.7355,91.989,100,100.00,1
ENSG00000221900,POM121L12,ENSMUSG00000084135,Pom121l12,Boreoeutheria,ortholog_one2one,21.9595,23.3813,100,97.50,0
ENSG00000122420,PTGFR,ENSMUSG00000028036,Ptgfr,Euarchontoglires,ortholog_one2one,88.5794,86.8852,100,100.00,1
ENSG00000174738,NR1D2,ENSMUSG00000021775,Nr1d2,Amniota,ortholog_one2one,91.019,91.4931,100,100.00,1
ENSG00000211637,IGLV4-69,ENSMUSG00000076939,Iglv3,Euarchontoglires,ortholog_one2many,69.7479,67.4797,0,100.00,1
ENSG00000141298,SSH2,ENSMUSG00000037926,Ssh2,Euarchontoglires,ortholog_one2one,79.8621,81.0357,100,100.00,1
ENSG00000143013,LMO4,ENSMUSG00000028266,Lmo4,Eutheria,ortholog_one2one,100,100,100,100.00,1
ENSG00000211639,IGLV4-60,ENSMUSG00000076939,Iglv3,Euarchontoglires,ortholog_one2many,65.8333,64.2276,0,100.00,1
ENSG00000141646,SMAD4,ENSMUSG00000024515,Smad4,Euarchontoglires,ortholog_one2one,98.3696,98.5481,100,100.00,1
ENSG00000169575,VPREB1,ENSMUSG00000059280,Vpreb2,Euarchontoglires,ortholog_one2many,71.0345,72.5352,0,100.00,1
ENSG00000169575,VPREB1,ENSMUSG00000059305,Vpreb1,Euarchontoglires,ortholog_one2many,71.0345,72.5352,50,0.00,0
ENSG00000090372,STRN4,ENSMUSG00000030374,Strn4,Eutheria,ortholog_one2one,95.0863,94.2105,100,100.00,1
ENSG00000104763,ASAH1,ENSMUSG00000031591,Asah1,Euarchontoglires,ortholog_one2one,79.2405,79.4416,50,100.00,1
ENSG00000134748,PRPF38A,ENSMUSG00000063800,Prpf38a,Euarchontoglires,ortholog_one2one,98.7179,98.7179,100,100.00,1
ENSG00000126522,ASL,ENSMUSG00000025533,Asl,Euarchontoglires,ortholog_one2one,93.9655,93.9655,0,100.00,1
ENSG00000109270,LAMTOR3,ENSMUSG00000091512,Lamtor3,Euarchontoglires,ortholog_one2one,97.5806,97.5806,100,100.00,1
ENSG00000168702,LRP1B,ENSMUSG00000049252,Lrp1b,Euarchontoglires,ortholog_one2one,91.6504,91.6504,50,100.00,1
ENSG00000048471,SNX29,ENSMUSG00000071669,Snx29,Euarchontoglires,ortholog_one2one,87.4539,86.9193,100,100.00,1
ENSG00000142892,PIGK,ENSMUSG00000039047,Pigk,Eutheria,ortholog_one2one,91.1392,81.448,100,95.23,1
ENSG00000187860,CCDC157,ENSMUSG00000051427,Ccdc157,Eutheria,ortholog_one2one,72.0745,75.4875,100,100.00,1
ENSG00000109158,GABRA4,ENSMUSG00000029211,Gabra4,Euarchontoglires,ortholog_one2one,90.4332,86.6782,100,100.00,1
ENSG00000058600,POLR3E,ENSMUSG00000030880,Polr3e,Euarchontoglires,ortholog_one2one,92.5141,92.2535,75,100.00,1
ENSG00000177989,ODF3B,ENSMUSG00000047394,Odf3b,Euarchontoglires,ortholog_one2one,73.1225,72.8346,100,100.00,1
ENSG00000080822,CLDND1,ENSMUSG00000022744,Cldnd1,Eutheria,ortholog_one2one,91.6996,91.6996,100,100.00,1
ENSG00000101574,METTL4,ENSMUSG00000055660,Mettl4,Eutheria,ortholog_one2one,75.2119,75.3716,0,17.52,0
ENSG00000118094,TREH,ENSMUSG00000032098,Treh,Eutheria,ortholog_one2one,81.1321,82.1181,100,100.00,1
ENSG00000234965,SHISA8,ENSMUSG00000096883,Shisa8,Euarchontoglires,ortholog_one2one,80.6045,80.2005,100,100.00,1
ENSG00000112499,SLC22A2,ENSMUSG00000040966,Slc22a2,Euarchontoglires,ortholog_one2one,83.2432,83.5443,75,100.00,1
ENSG00000184005,ST6GALNAC3,ENSMUSG00000052544,St6galnac3,Eutheria,ortholog_one2one,85.2459,85.2459,100,100.00,1
ENSG00000124091,GCNT7,ENSMUSG00000074569,Gcnt7,Euarchontoglires,ortholog_one2one,64.9351,46.1894,100,100.00,0
ENSG00000101180,HRH3,ENSMUSG00000039059,Hrh3,Eutheria,ortholog_one2one,79.7753,76.1803,100,100.00,1
ENSG00000151012,SLC7A11,ENSMUSG00000027737,Slc7a11,Boreoeutheria,ortholog_one2one,89.2216,89.0438,100,100.00,1
ENSG00000100221,JOSD1,ENSMUSG00000022426,Josd1,Boreoeutheria,ortholog_one2one,97.0297,97.0297,100,100.00,1
ENSG00000175048,ZDHHC14,ENSMUSG00000034265,Zdhhc14,Euarchontoglires,ortholog_one2one,94.8771,94.683,100,100.00,1
ENSG00000165060,FXN,ENSMUSG00000059363,Fxn,Boreoeutheria,ortholog_one2one,73.3333,74.3961,75,78.76,1
ENSG00000185056,C5orf47,ENSMUSG00000020299,4930524B15Rik,Euarchontoglires,ortholog_one2one,46.5909,49.697,75,100.00,0
ENSG00000223572,CKMT1A,ENSMUSG00000000308,Ckmt1,Euarchontoglires,ortholog_one2many,96.8825,96.6507,75,93.66,1
ENSG00000162989,KCNJ3,ENSMUSG00000026824,Kcnj3,Boreoeutheria,ortholog_one2one,99.002,99.002,100,100.00,1
ENSG00000197273,GUCA2A,ENSMUSG00000023247,Guca2a,Eutheria,ortholog_one2one,66.9565,66.3793,100,100.00,1
ENSG00000166292,TMEM100,ENSMUSG00000069763,Tmem100,Euarchontoglires,ortholog_one2one,85.0746,85.0746,100,100.00,1
ENSG00000080986,NDC80,ENSMUSG00000024056,Ndc80,Euarchontoglires,ortholog_one2one,83.9564,83.9564,50,100.00,1
ENSG00000188559,RALGAPA2,ENSMUSG00000037110,Ralgapa2,Euarchontoglires,ortholog_one2one,91.4576,87.5319,100,99.67,1
ENSG00000183072,NKX2-5,ENSMUSG00000015579,Nkx2-5,Boreoeutheria,ortholog_one2one,87.3457,88.9937,50,100.00,1
ENSG00000119139,TJP2,ENSMUSG00000024812,Tjp2,Euarchontoglires,ortholog_one2one,86.2185,86.2185,100,100.00,1
ENSG00000144120,TMEM177,ENSMUSG00000036975,Tmem177,Euarchontoglires,ortholog_one2one,78.4566,78.4566,100,100.00,1
ENSG00000159224,GIP,ENSMUSG00000014351,Gip,Euarchontoglires,ortholog_one2one,69.281,73.6111,100,100.00,1
ENSG00000162402,USP24,ENSMUSG00000028514,Usp24,Euarchontoglires,ortholog_one2one,97.7099,97.7846,100,100.00,1
ENSG00000167780,SOAT2,ENSMUSG00000023045,Soat2,Boreoeutheria,ortholog_one2one,81.9923,81.5238,100,100.00,1
ENSG00000249242,TMEM150C,ENSMUSG00000050640,Tmem150c,Theria,ortholog_one2one,95.9839,95.9839,100,100.00,1
ENSG00000144278,GALNT13,ENSMUSG00000060988,Galnt13,Euarchontoglires,ortholog_one2one,99.4604,93.4122,100,100.00,1
ENSG00000170214,ADRA1B,ENSMUSG00000050541,Adra1b,Euarchontoglires,ortholog_one2one,95.3846,96.3107,100,100.00,1
ENSG00000130540,SULT4A1,ENSMUSG00000018865,Sult4a1,Boreoeutheria,ortholog_one2one,97.8873,97.8873,100,100.00,1
ENSG00000180340,FZD2,ENSMUSG00000050288,Fzd2,Euarchontoglires,ortholog_one2one,99.292,98.4211,100,100.00,1
ENSG00000171522,PTGER4,ENSMUSG00000039942,Ptger4,Boreoeutheria,ortholog_one2one,88.3197,84.0156,100,100.00,1
ENSG00000206730,RNU6-468P,ENSMUSG00000088454,Gm26371,Eutheria,ortholog_one2one,77.0642,80.7692,,0.00,0
ENSG00000277947,SNORD3D,ENSMUSG00002074875,,Eutheria,ortholog_one2one,79.8165,81.3084,,0.00,0
ENSG00000281000,SNORD3D,ENSMUSG00000106147,Snord3a,Eutheria,ortholog_one2many,80.6452,82.1596,,0.00,0
ENSG00000202389,SNORA70,ENSMUSG00000064994,Gm22422,Eutheria,ortholog_one2many,75.5556,75.5556,,0.00,0
ENSG00000252657,SNORA70,ENSMUSG00000087816,Gm25116,Eutheria,ortholog_one2one,69.0476,71.3115,,0.00,0
ENSG00000134853,PDGFRA,ENSMUSG00000029231,Pdgfra,Euarchontoglires,ortholog_one2one,91.7355,91.7355,100,100.00,1
ENSG00000183111,ARHGEF37,ENSMUSG00000045094,Arhgef37,Euarchontoglires,ortholog_one2one,79.5556,79.4379,100,100.00,1
ENSG00000274663,RNA5SP526,ENSMUSG00002075406,5S_rRNA,Eutheria,ortholog_one2many,54.023,43.5185,,0.00,0
ENSG00000238793,SNORD124,ENSMUSG00000088169,Gm22059,Eutheria,ortholog_one2one,83.6538,83.6538,,100.00,1
ENSG00000252699,SNORA21B,ENSMUSG00002075586,SNORA21B,Eutheria,ortholog_one2one,52.2059,74.7368,,99.63,1
ENSG00000199293,SNORA21,ENSMUSG00000070166,Gm25821,Eutheria,ortholog_one2many,79.5455,78.9474,,0.00,0
ENSG00000199293,SNORA21,ENSMUSG00000065940,Gm23795,Eutheria,ortholog_one2many,86.3636,83.2117,,0.00,0
ENSG00000212190,RNU6-298P,ENSMUSG00000064395,Gm23623,Eutheria,ortholog_one2many,73.9583,66.3551,,0.00,0
ENSG00000109881,CCDC34,ENSMUSG00000027160,Ccdc34,Euarchontoglires,ortholog_one2one,69.1689,70.2997,100,100.00,1
ENSG00000202205,RNU6-1034P,ENSMUSG00002076109,Gm24316,Tetrapoda,ortholog_one2one,83.1683,78.5047,,0.00,0
ENSG00000222777,RNU6-233P,ENSMUSG00002074982,U6,Eutheria,ortholog_one2many,32.6241,82.1429,,0.00,0
ENSG00000283935,MIR423,ENSMUSG00000065518,Mir423,Eutheria,ortholog_one2many,90.4255,77.9817,,100.00,1
ENSG00000252882,RNU6-1137P,ENSMUSG00000089039,Gm22165,Eutheria,ortholog_one2one,54.5455,52.4272,,0.00,0
ENSG00000128886,ELL3,ENSMUSG00000027246,Ell3,Euarchontoglires,ortholog_one2one,76.0705,76.4557,100,100.00,1
ENSG00000101596,SMCHD1,ENSMUSG00000024054,Smchd1,Euarchontoglires,ortholog_one2one,86.6833,86.5969,75,100.00,1
ENSG00000251763,RNU6-470P,ENSMUSG00000119092,Gm23725,Amniota,ortholog_one2many,85.5769,83.1776,,0.00,0
ENSG00000251763,RNU6-470P,ENSMUSG00000088658,Gm24846,Amniota,ortholog_one2many,72.1154,69.4444,,0.00,0
ENSG00000251763,RNU6-470P,ENSMUSG00002074911,U6,Amniota,ortholog_one2many,69.2308,72,,0.00,0
ENSG00000251763,RNU6-470P,ENSMUSG00002075736,U6,Amniota,ortholog_one2many,70.1923,73,,0.00,0
ENSG00000123213,NLN,ENSMUSG00000021710,Nln,Euarchontoglires,ortholog_one2one,90.1989,90.1989,100,100.00,1
ENSG00000207947,MIR152,ENSMUSG00000065515,Mir152,Eutheria,ortholog_one2one,81.6092,97.2603,,100.00,1
ENSG00000207306,RNU6-1152P,ENSMUSG00000119728,Gm22062,Theria,ortholog_one2one,86.9159,86.9159,,0.00,0
ENSG00000184530,C6orf58,ENSMUSG00000015519,2310057J18Rik,Euarchontoglires,ortholog_one2one,55.1515,54.0059,100,100.00,1
ENSG00000284038,MIR10A,ENSMUSG00000065519,Mir10a,Eutheria,ortholog_one2one,98.1818,98.1818,,100.00,1
ENSG00000200903,RNU1-42P,ENSMUSG00000065212,Gm26264,Amniota,ortholog_one2many,81.875,82.3899,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000064755,Gm26328,Tetrapoda,ortholog_one2many,89.4231,86.9159,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000118773,Gm24018,Tetrapoda,ortholog_one2many,91.3462,88.785,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000065732,Gm24492,Tetrapoda,ortholog_one2many,87.5,85.0467,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000064822,Gm24292,Tetrapoda,ortholog_one2many,87.5,85.0467,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000065006,Gm26325,Tetrapoda,ortholog_one2many,86.5385,84.1122,,0.00,0
ENSG00000252636,RNU6-826P,ENSMUSG00000064735,Gm23057,Tetrapoda,ortholog_one2many,89.4231,86.9159,,0.00,0
ENSG00000252685,RNU6-928P,ENSMUSG00000089560,Gm24668,Theria,ortholog_one2one,68.2692,68.2692,,0.00,0
ENSG00000251809,RN7SKP14,ENSMUSG00002076565,7SK,Eutheria,ortholog_one2one,35.8663,38.9439,,0.00,0
ENSG00000100341,PNPLA5,ENSMUSG00000018868,Pnpla5,Euarchontoglires,ortholog_one2one,66.4336,65.8199,100,100.00,1
ENSG00000252198,Y_RNA,ENSMUSG00002075548,Y_RNA,Eutheria,ortholog_one2many,35.5705,45.6897,,0.00,0
ENSG00000243426,RN7SL454P,ENSMUSG00000093112,Gm22701,Eutheria,ortholog_one2many,64.6091,53.9519,,0.00,0
ENSG00000207410,,ENSMUSG00000065226,Gm25791,Eutheria,ortholog_one2many,85.6115,86.8613,,0.00,0
ENSG00000284190,MIR21,ENSMUSG00000065455,Mir21a,Eutheria,ortholog_one2one,97.2222,76.087,,100.00,1
ENSG00000266967,AARSD1,ENSMUSG00000075528,Aarsd1,Eutheria,ortholog_one2one,90.0485,90.0485,100,100.00,1
ENSG00000184601,C14orf180,ENSMUSG00000043122,A530016L24Rik,Euarchontoglires,ortholog_one2one,30,29.0909,100,100.00,0
ENSG00000171408,PDE7B,ENSMUSG00000019990,Pde7b,Eutheria,ortholog_one2one,88.2222,79.7189,100,100.00,1
ENSG00000125991,ERGIC3,ENSMUSG00000005881,Ergic3,Eutheria,ortholog_one2one,98.1723,95.4315,100,100.00,1
ENSG00000110318,CEP126,ENSMUSG00000040729,Cep126,Euarchontoglires,ortholog_one2one,60.3402,61.1061,100,98.88,1
ENSG00000100345,MYH9,ENSMUSG00000022443,Myh9,Euarchontoglires,ortholog_one2one,97.0918,97.0918,100,100.00,1
ENSG00000197616,MYH6,ENSMUSG00000040752,Myh6,Eutheria,ortholog_one2one,96.854,96.904,100,100.00,1
ENSG00000139318,DUSP6,ENSMUSG00000019960,Dusp6,Euarchontoglires,ortholog_one2one,98.1627,98.1627,50,100.00,1
ENSG00000178568,ERBB4,ENSMUSG00000062209,Erbb4,Euarchontoglires,ortholog_one2one,97.3242,97.3242,100,100.00,1
ENSG00000221792,MIR1282,ENSMUSG00000080374,Gm22953,Eutheria,ortholog_one2one,99.2079,99.2079,,100.00,1
ENSG00000140259,MFAP1,ENSMUSG00000068479,Mfap1a,Euarchontoglires,ortholog_one2many,99.3166,99.3166,100,99.93,1
ENSG00000140259,MFAP1,ENSMUSG00000048222,Mfap1b,Euarchontoglires,ortholog_one2many,99.3166,99.3166,100,0.00,1
ENSG00000116641,DOCK7,ENSMUSG00000028556,Dock7,Eutheria,ortholog_one2one,97.7103,98.169,100,100.00,1
ENSG00000185742,C11orf87,ENSMUSG00000078307,AI593442,Euarchontoglires,ortholog_one2one,87.3096,86.4322,75,100.00,1
ENSG00000154548,SRSF12,ENSMUSG00000054679,Srsf12,Theria,ortholog_one2one,57.8544,56.7669,100,94.54,1
ENSG00000127720,METTL25,ENSMUSG00000036009,Mettl25,Euarchontoglires,ortholog_one2one,74.6269,75,100,100.00,1
ENSG00000149534,MS4A2,ENSMUSG00000024680,Ms4a2,Euarchontoglires,ortholog_one2one,58.1967,60.4255,50,100.00,1
ENSG00000074621,SLC24A1,ENSMUSG00000034452,Slc24a1,Euarchontoglires,ortholog_one2one,69.8817,67.9646,100,99.03,1
ENSG00000166377,ATP9B,ENSMUSG00000024566,Atp9b,Euarchontoglires,ortholog_one2one,93.1125,93.1937,100,100.00,1
ENSG00000164040,PGRMC2,ENSMUSG00000049940,Pgrmc2,Eutheria,ortholog_one2one,86.9955,89.4009,100,100.00,1
ENSG00000130338,TULP4,ENSMUSG00000034377,Tulp4,Euarchontoglires,ortholog_one2one,94.4264,94.1823,100,100.00,1
ENSG00000100711,ZFYVE21,ENSMUSG00000021286,Zfyve21,Eutheria,ortholog_one2one,84.6154,75.2852,100,100.00,1
ENSG00000214782,MS4A18,ENSMUSG00000094584,Ms4a18,Euarchontoglires,ortholog_one2one,44.25,51.4535,100,97.42,0
ENSG00000184845,DRD1,ENSMUSG00000021478,Drd1,Euarchontoglires,ortholog_one2one,91.0314,91.0314,50,100.00,1
ENSG00000111145,ELK3,ENSMUSG00000008398,Elk3,Boreoeutheria,ortholog_one2one,92.3833,91.9315,100,100.00,1
ENSG00000166961,MS4A15,ENSMUSG00000067571,Ms4a15,Eutheria,ortholog_one2one,79.5833,77.9592,100,97.18,1
ENSG00000171992,SYNPO,ENSMUSG00000043079,Synpo,Eutheria,ortholog_one2one,79.1805,65,100,100.00,1
ENSG00000106524,ANKMY2,ENSMUSG00000036188,Ankmy2,Eutheria,ortholog_one2one,88.4354,88.6364,100,100.00,1
ENSG00000138069,RAB1A,ENSMUSG00000020149,Rab1a,Eutheria,ortholog_one2one,100,100,100,100.00,1
ENSG00000174799,CEP135,ENSMUSG00000036403,Cep135,Euarchontoglires,ortholog_one2one,82.807,82.807,100,100.00,1
ENSG00000151572,ANO4,ENSMUSG00000035189,Ano4,Euarchontoglires,ortholog_one2one,98.3246,98.3246,100,100.00,1
ENSG00000165782,PIP4P1,ENSMUSG00000035953,Pip4p1,Eutheria,ortholog_one2one,97.1119,94.7183,100,100.00,1
ENSG00000120725,SIL1,ENSMUSG00000024357,Sil1,Euarchontoglires,ortholog_one2one,85.2495,84.5161,100,100.00,1
ENSG00000153443,UBALD1,ENSMUSG00000039568,Ubald1,Euarchontoglires,ortholog_one2one,92.0904,92.6136,100,100.00,1
ENSG00000130024,PHF10,ENSMUSG00000023883,Phf10,Boreoeutheria,ortholog_one2one,95.9839,96.1771,100,100.00,1
ENSG00000146731,CCT6A,ENSMUSG00000029447,Cct6a,Boreoeutheria,ortholog_one2one,96.6102,96.6102,100,100.00,1
ENSG00000127586,CHTF18,ENSMUSG00000019214,Chtf18,Euarchontoglires,ortholog_one2one,74.6667,75.0515,100,100.00,1
ENSG00000252519,RNU6-783P,ENSMUSG00000065714,Gm25652,Theria,ortholog_one2many,72.381,73.7864,,0.00,0
ENSG00000197714,ZNF460,ENSMUSG00000031365,Zfp275,Theria,ortholog_one2one,28.2918,31.8637,0,0.00,0
ENSG00000206808,Y_RNA,ENSMUSG00000084609,Gm22199,Eutheria,ortholog_one2one,72.7273,63.4921,,0.00,0
ENSG00000100302,RASD2,ENSMUSG00000034472,Rasd2,Eutheria,ortholog_one2one,95.1128,95.1128,50,100.00,1
ENSG00000273908,,ENSMUSG00002076543,,Eutheria,ortholog_one2one,90.4762,90.4762,,100.00,1
ENSG00000201591,RNU6-99P,ENSMUSG00002076853,U6,Eutheria,ortholog_one2one,71.028,78.3505,,0.00,0
ENSG00000252355,RN7SKP287,ENSMUSG00002076316,7SK,Eutheria,ortholog_one2one,36.8421,48.2759,,0.00,0
ENSG00000252922,RNU6-365P,ENSMUSG00000093117,Gm22699,Eutheria,ortholog_one2one,60.3774,60.9524,,0.00,0
ENSG00000222385,RN7SKP158,ENSMUSG00002075985,7SK,Eutheria,ortholog_one2one,55.2147,67.1642,,0.00,0
ENSG00000198125,MB,ENSMUSG00000018893,Mb,Eutheria,ortholog_one2one,82.4675,82.4675,50,100.00,1
ENSG00000212135,SNORD67,ENSMUSG00000077221,Snord67,Mammalia,ortholog_one2one,97.2973,97.2973,,100.00,1
ENSG00000223223,RN7SKP192,ENSMUSG00002076223,7SK,Eutheria,ortholog_one2one,57.1865,59.5541,,0.00,0
ENSG00000200146,RNU6-544P,ENSMUSG00000089124,Gm26402,Theria,ortholog_one2many,65.4206,61.9469,,0.00,0
ENSG00000211997,MIR708,ENSMUSG00000076143,Mir708,Eutheria,ortholog_one2one,95.4545,77.0642,,100.00,1
ENSG00000101084,RAB5IF,ENSMUSG00000027637,Rab5if,Euarchontoglires,ortholog_one2one,98.4496,98.4496,100,100.00,1
ENSG00000164035,EMCN,ENSMUSG00000054690,Emcn,Euarchontoglires,ortholog_one2one,51.7241,51.7241,100,100.00,1
ENSG00000207113,RNU6-16P,ENSMUSG00000119383,Gm26285,Eutheria,ortholog_one2one,98.1308,98.1308,,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000078793,Gm5155,Boreoeutheria,ortholog_many2many,21.957,8.62231,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000070798,Psg25,Boreoeutheria,ortholog_many2many,23.6277,20.8421,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000063305,Psg20,Boreoeutheria,ortholog_many2many,22.1957,19.5789,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000057195,Ceacam13,Boreoeutheria,ortholog_many2many,10.7399,17.1103,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000044903,Psg22,Boreoeutheria,ortholog_many2many,24.3437,19.8444,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000066760,Psg16,Boreoeutheria,ortholog_many2many,13.6038,14.4304,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000074359,Psg23,Boreoeutheria,ortholog_many2many,24.105,21.4437,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000004542,Psg19,Boreoeutheria,ortholog_many2many,24.105,21.2632,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000023159,Psg29,Boreoeutheria,ortholog_many2many,21.957,19.6581,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000070799,Psg26,Boreoeutheria,ortholog_many2many,22.673,20,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000053228,Ceacam3,Boreoeutheria,ortholog_many2many,24.821,14.7309,0,1.06,0
ENSG00000221878,PSG7,ENSMUSG00000070796,Psg21,Boreoeutheria,ortholog_many2many,23.6277,21.0191,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000030366,Ceacam12,Boreoeutheria,ortholog_many2many,10.7399,15,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000023185,Ceacam14,Boreoeutheria,ortholog_many2many,11.2172,17.8707,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000030368,Ceacam11,Boreoeutheria,ortholog_many2many,10.9785,15.1815,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000004540,Psg17,Boreoeutheria,ortholog_many2many,23.6277,20.8421,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000070797,Psg27,Boreoeutheria,ortholog_many2many,22.9117,20.2532,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000030373,Psg28,Boreoeutheria,ortholog_many2many,23.1504,20.5508,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000008789,Ceacam5,Boreoeutheria,ortholog_many2many,22.9117,10.1373,0,0.00,0
ENSG00000221878,PSG7,ENSMUSG00000003505,Psg18,Boreoeutheria,ortholog_many2many,22.673,19.958,0,0.00,0
ENSG00000140153,WDR20,ENSMUSG00000035560,Wdr20rt,Euteleostomi,ortholog_one2many,91.9156,92.2399,0,0.00,0
ENSG00000140153,WDR20,ENSMUSG00000037957,Wdr20,Euteleostomi,ortholog_one2many,96.8366,96.8366,100,100.00,1
ENSG00000272036,MIR139,ENSMUSG00000065446,Mir139,Eutheria,ortholog_one2one,100,100,,100.00,1
ENSG00000283412,U6,ENSMUSG00000088318,Gm26187,Eutheria,ortholog_one2one,65.5738,39.604,,0.00,0
ENSG00000200877,RNU6-560P,ENSMUSG00000064719,Gm25930,Eutheria,ortholog_one2one,92.5926,93.4579,,0.00,0
ENSG00000207299,,ENSMUSG00000065289,Gm23650,Eutheria,ortholog_one2many,87.3239,88.5714,,100.00,1
ENSG00000202314,SNORD6,ENSMUSG00000064797,Gm24357,Eutheria,ortholog_one2many,90.411,89.1892,,100.00,1
ENSG00000275146,,ENSMUSG00000077394,Gm24339,Eutheria,ortholog_one2many,81.25,85.5263,,100.00,1
ENSG00000273885,,ENSMUSG00000077506,Scarna9,Euteleostomi,ortholog_one2many,87.1429,87.1429,,100.00,1
